"project","relative_path","file_type","size_bytes","sha256","status","proposed_action","risk"
"NextGenTutors-BeyondInfinity","inc/motion.php","php","8897","4676CC14A9D01E898EDE2B145BCABAA79872299C1D73F5E03F76C60AEFFC255D","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","inc/nav-menu.php","php","10866","C29F26D422BC38122479AB4EFAFB5D0B0A7545E901424310DF8C6B0630264EA3","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","inc/nbi-infinity.php","php","6779","DB054D7F514184C89EC9BDC5D5B85D8EF2B4C679713075787748EFEC4BCC3FC5","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","inc/ngt-assets.php","php","7340","66D8666939047E34460DA2831279C51B1DADD88D7AF1E36ADF67DB27C856F324","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","inc/openwa.php","php","13649","F382E1BF00ADB6FE34DB5A141ABD6817CF0F9179D6E229135913FE2B31D29E18","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","inc/page-builders.php","php","8018","A966357F75335AD9E811D42CF51C44287E4BE7FCEE45233CC4431B0E99BE4C0D","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","inc/page-composer.php","php","10516","6ECF428AF891917526C6AEF8FBF49C986BE46094766E0C0459B250E726FE4870","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","inc/page-wrapper.php","php","3217","054D6F3C508544C097AEDA8EFDD1F3DCE4AE1C06475D9B4FD284D1B3B5018D98","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","inc/pages-registry.php","php","10538","7E35EE8862D2920A758AA2E295CD0A18F9C60FC6E4BC84433D48C89826011664","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","inc/production-content.php","php","3139","912473DC21A783453C53C9B6624625C551706B8468B3524FE7F09779618273B9","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","inc/prototype-blend.php","php","8976","F9C1DDD778F7CBB8183A15CF1527DC7A31DD84F5F4E840534EFA445379A9FF0B","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","inc/prototype-bodies.php","php","2799","397FC26EE0CED0B824F54317DC50138D9D68D9035A0EBCAC02A788D93671CDB0","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","inc/roles.php","php","720","4C8FE2A4E657D9C5ED3266158C1D9322CC488488F1CBCD91FCBDECC17ECE1C62","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","inc/security.php","php","3086","1BA9EE1A7A0D7DA3E8EF688F1AD83EDD1DA8452FEB19016792B0BB713ED510E7","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","inc/seo.php","php","6299","A91B21EE699A0BF987D8E8F6F2E7A8C16A255862CEB619739BBCA68BAC9B687D","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","inc/shortcodes-fallback.php","php","16507","50780A233C0157A811E5D0262D620D1F28295A2BF733F2E08BCE14DEC4FB3874","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","inc/template-tags.php","php","50797","09F4AE49F9A5129923A25953C41EE2DCF509235A38C69C9B8FEE477AF438993B","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","inc/theme-switcher.php","php","7942","3EC73B8A4E7BD28869B283A973782CBFA318D5438C64703A7B0EA74925F08739","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","inc/tutor-data.php","php","19326","311801F5C63EC7AECB4AB2B36AFAC0869781BDB358CFB91A1267504EBB4C1043","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","inc/tutoring-imagery.php","php","2641","1BC91B995427BB153B4B2F4A8EB04E2EE75D9619A8A9D082898F5483685433A4","DUPLICATE","CONSOLIDATE","low"
